busra,4,1-10-2-7-6,27.05.2023 22:35:50,7,3T/3F
busra,5,1-5-2-6-5,27.05.2023 22:44:29,16,5T/0F
mert,5,1-5-2-6-5,27.05.2023 23:34:40,7,5T/0F
busra,0,1-10-1-10-5,27.05.2023 23:37:24,8,3T/2F
mudak,0,1-10-1-10-5,27.05.2023 23:38:37,5,2T/3F
mert,2,1-7-2-9-3,27.05.2023 23:39:32,4,2T/1F
melih,3,1-6-2-7-2,27.05.2023 23:40:49,2,1T/1F
busra,3,1-6-2-7-2,27.05.2023 23:46:31,4,1T/1F
busra,1,2-9-3-7-4,27.05.2023 23:46:51,9,3T/1F
mert,1,2-9-3-7-4,27.05.2023 23:47:33,7,2T/2F
busra,0,1-10-1-10-5,27.05.2023 23:49:33,6,3T/2F
